time,distance,heuristic,cityDep_id,cityArr_id
20067,591504,464629.30485462997,10000,47
23726,686120,586704.9509061249,1000,48
27126,823233,606359.4864064238,10000,48
4315,114569,93956.41793679354,1000,49
34594,1071547,893019.6870050577,10000,49
8176,223488,199938.67166215248,1000,50
26873,787264,670403.8387670962,10000,50
16376,463262,398162.2598603284,1000,51
21877,648206,481731.07331418653,10000,51
8344,228475,204564.2590665208,1000,52
26880,786363,668367.5592420402,10000,52
37291,1153043,842166.1175360618,1000,53
7109,181505,144849.45258807178,10000,53
3786,85552,67865.37064259867,1000,54
35792,1081711,892528.0487844999,10000,54
25164,721035,586599.1931746668,1000,55
19906,501550,332493.83636076335,10000,55
22226,652764,535887.5932173327,1000,56
34220,1049405,740093.3862535651,10000,56
37384,1146183,842954.7686539257,1000,57
7201,174644,136193.20971709545,10000,57
38154,1041434,766248.9436586328,1000,58
9720,200226,141855.79222075536,10000,58
26884,779423,596842.8234093589,1000,59
40035,1217851,903052.2625575055,10000,59
26219,805415,648994.5273969539,1000,60
7827,213632,186239.793140473,10000,60
686,8891,7532.974686254723,1000,61
32808,1008287,839619.6414141206,10000,61
24228,683207,596824.0493832118,1000,62
25776,755955,508891.0746166454,10000,62
7512,208136,194371.34028410903,1000,63
26988,792805,666770.2032934135,10000,63
11036,327388,269816.3902209722,1000,64
22873,688636,566045.0764210164,10000,64
24767,717994,567403.0468632363,1000,65
37918,1156422,841908.8866552064,10000,65
4170,108493,88447.29376342925,1000,66
29292,896859,746918.8637196895,10000,66
35023,1076560,865270.3077405905,1000,67
3156,65535,47004.50527957569,10000,67
9060,237369,216812.85276732928,1000,68
25433,762210,651848.9503972145,10000,68
7907,221207,203148.7064728963,1000,69
26143,782073,666507.2709906587,10000,69
21844,625654,546655.7020422575,1000,70
26963,823052,570392.5419719256,10000,70
8762,208671,151826.95851268873,1000,71
28945,881098,722192.8924061838,10000,71
25485,798095,602659.769088388,1000,72
12668,369401,256869.16498082058,10000,72
6929,193760,151036.83328680613,1000,73
29796,870654,728306.5707043279,10000,73
27348,809876,705368.7635073756,1000,74
21250,641711,507274.6774862623,10000,74
22819,713717,567129.5955948833,1000,75
10668,313810,268698.82059062476,10000,75
65088,1362737,1062840.2370209857,1000,76
33221,351712,315401.59547517746,10000,76
23180,675892,536987.2548578857,1000,77
35825,1099675,798335.58531971,10000,77
28377,844091,747804.7567663209,1000,78
15561,453547,333504.6942505418,10000,78
26936,832074,635974.432810723,1000,79
11830,336498,222269.14617331963,10000,79
35644,1095484,868006.750749854,1000,80
3777,84459,63795.431765034205,10000,80
8873,230092,210284.42757710954,1000,81
26179,775788,659641.5779928513,10000,81
32706,1012742,835232.5460324878,1000,10000
