walking, 323501, 435322, 399571.66384525737,1,77
transit, 12798, 435250, 399571.66384525737,1,77
driving, 21700, 630517, 545129.873285216,1,78
walking, 455664, 609969, 545129.873285216,1,78
transit, 26567, 1039099, 545129.873285216,1,78
driving, 20983, 608206, 486316.09553415736,1,79
walking, 422318, 561804, 486316.09553415736,1,79
transit, 19280, 591373, 486316.09553415736,1,79
driving, 29236, 858914, 703569.6802833643,1,80
walking, 611014, 816359, 703569.6802833643,1,80
transit, 21422, 840030, 703569.6802833643,1,80
driving, 1713, 10103, 7405.1115026469215,1,81
walking, 6626, 8405, 7405.1115026469215,1,81
transit, 2886, 8884, 7405.1115026469215,1,81
driving, 11193, 316811, 276201.70886203024,2,3
walking, 233224, 311367, 276201.70886203024,2,3
transit, 8776, 329633, 276201.70886203024,2,3
driving, 14201, 408022, 322270.15420932684,2,4
walking, 283290, 377995, 322270.15420932684,2,4
transit, 18546, 436631, 322270.15420932684,2,4
driving, 7458, 201276, 155875.4601563939,2,5
walking, 141578, 185781, 155875.4601563939,2,5
transit, 11733, 229088, 155875.4601563939,2,5
driving, 32275, 988891, 697158.1698616178,2,6
walking, 611970, 808686, 697158.1698616178,2,6
transit, 25357, 1178944, 697158.1698616178,2,6
driving, 27447, 807279, 615547.0405005055,2,7
walking, 553156, 740093, 615547.0405005055,2,7
transit, 22478, 833315, 615547.0405005055,2,7
driving, 6549, 170388, 127035.67730561529,2,8
walking, 115189, 154765, 127035.67730561529,2,8
transit, 8084, 179242, 127035.67730561529,2,8
driving, 21504, 646996, 506708.9079355639,2,9
walking, 451534, 602830, 506708.9079355639,2,9
transit, 24702, 683841, 506708.9079355639,2,9
driving, 34368, 1049326, 765490.2307952523,2,10
walking, 660024, 880318, 765490.2307952523,2,10
transit, 24881, 1160742, 765490.2307952523,2,10
driving, 32248, 966840, 799418.3736340792,2,11
walking, 679110, 914235, 799418.3736340792,2,11
transit, 23596, 985737, 799418.3736340792,2,11
driving, 26129, 799196, 670614.5489717579,2,12
walking, 558583, 751893, 670614.5489717579,2,12
transit, 21062, 902775, 670614.5489717579,2,12
driving, 32667, 1003202, 835249.9746334152,2,13
walking, 695597, 935501, 835249.9746334152,2,13
transit, 21612, 981366, 835249.9746334152,2,13
driving, 11741, 334582, 250454.69591784285,2,14
walking, 224659, 295724, 250454.69591784285,2,14
transit, 11578, 388802, 250454.69591784285,2,14
driving, 3051, 63931, 47844.19993208311,2,15
walking, 44538, 57647, 47844.19993208311,2,15
transit, 5452, 66302, 47844.19993208311,2,15
driving, 30245, 910651, 656559.832858468,2,16
walking, 569982, 759051, 656559.832858468,2,16
transit, 23030, 1091681, 656559.832858468,2,16
driving, 42636, 1286854, 952479.5519073778,2,17
walking, 823172, 1099850, 952479.5519073778,2,17
transit, 32604, 1312492, 952479.5519073778,2,17
driving, 10712, 311612, 209325.3066818907,2,18
walking, 198834, 260762, 209325.3066818907,2,18
transit, 15625, 340112, 209325.3066818907,2,18
driving, 17330, 505066, 448137.67746391374,2,19
walking, 375547, 504102, 448137.67746391374,2,19
transit, 14953, 521986, 448137.67746391374,2,19
driving, 30024, 894045, 661091.0907129196,2,20
walking, 568328, 755840, 661091.0907129196,2,20
transit, 20467, 996453, 661091.0907129196,2,20
driving, 16582, 476318, 331939.27744948183,2,21
walking, 297388, 390418, 331939.27744948183,2,21
transit, 20368, 491782, 331939.27744948183,2,21
driving, 31610, 924282, 771840.9642340615,2,22
walking, 650074, 874942, 771840.9642340615,2,22
transit, 21705, 889005, 771840.9642340615,2,22
driving, 23341, 695225, 434487.9654172274,2,23
walking, 399852, 522809, 434487.9654172274,2,23
driving, 1975, 32909, 26113.976881916988,2,24
walking, 24352, 31202, 26113.976881916988,2,24
transit, 5647, 34188, 26113.976881916988,2,24
driving, 5232, 126700, 103427.7251250216,2,25
walking, 87700, 117567, 103427.7251250216,2,25
transit, 6592, 130233, 103427.7251250216,2,25
driving, 26730, 800167, 585273.0734742741,2,26
walking, 507569, 674592, 585273.0734742741,2,26
transit, 20682, 1016624, 585273.0734742741,2,26
driving, 12612, 340886, 257848.37442173835,2,27
walking, 233677, 313763, 257848.37442173835,2,27
driving, 25547, 770195, 652033.3849609162,2,28
walking, 550274, 741081, 652033.3849609162,2,28
transit, 25042, 1077425, 652033.3849609162,2,28
driving, 11325, 321461, 277630.2379510465,2,29
walking, 235527, 314422, 277630.2379510465,2,29
transit, 9024, 330161, 277630.2379510465,2,29
driving, 19366, 569942, 442497.5635636591,2,30
walking, 387813, 516214, 442497.5635636591,2,30
transit, 18147, 610481, 442497.5635636591,2,30
driving, 33227, 1005457, 789994.014680477,2,31
walking, 671132, 894909, 789994.014680477,2,31
transit, 23329, 996859, 789994.014680477,2,31
driving, 25399, 776063, 581575.9662540683,2,32
walking, 497438, 667652, 581575.9662540683,2,32
transit, 24819, 1125864, 581575.9662540683,2,32
driving, 23555, 693432, 517764.3949423902,2,33
walking, 480593, 641874, 517764.3949423902,2,33
transit, 19430, 725189, 517764.3949423902,2,33
driving, 30054, 905401, 758702.7590957087,2,34
walking, 640911, 861563, 758702.7590957087,2,34
transit, 20987, 898149, 758702.7590957087,2,34
driving, 11469, 327073, 216101.42376715722,2,35
