,time,distance,heuristic,cityDep_id,cityArr_id
97,23456,690121,518858.58239442715,10000,33
98,15984,463318,311224.26250561175,100000,33
99,9114,256677,194807.51092982263,1000,34
100,29857,902089,758089.9258928819,10000,34
101,23215,700038,588681.9119551535,100000,34
102,35359,1069699,884790.5138629193,1000,35
103,11415,323761,213652.88457922454,10000,35
104,15030,451551,359621.6836240602,100000,35
105,8226,225933,208589.0468153242,1000,36
106,25654,774313,661675.0674488104,10000,36
107,19012,572262,484524.1894442675,100000,36
108,15300,408935,312743.4879182291,1000,37
109,23793,711243,603111.6250414382,10000,37
110,17151,509192,391399.1784618809,100000,37
111,801,12076,10283.450413693463,1000,38
112,32730,1009288,840890.1440404875,10000,38
113,26088,807237,643139.2427494783,100000,38
114,7980,221119,196146.2842731297,1000,39
115,27021,792468,673692.8714483042,10000,39
116,20379,590417,495308.5680245544,100000,39
117,948,14070,11105.508919968644,1000,40
118,32877,1011282,842953.4970680105,10000,40
119,26235,809231,645269.3315925611,100000,40
120,11115,300832,241027.2582087343,1000,41
121,27894,839011,682821.1796849882,10000,41
122,21252,636960,518408.9507641033,100000,41
123,38047,1164863,829729.0588857528,1000,42
124,7903,193618,148035.58616601894,10000,42
125,15938,459375,198520.16073789948,100000,42
126,9171,240252,214644.4844831789,1000,43
127,25792,777657,661590.5183403655,10000,43
128,19150,575606,486368.9504566666,100000,43
129,30286,929328,755206.7409837929,1000,44
130,4568,96127,85353.61595693133,10000,44
131,8177,223840,155017.8857650492,100000,44
132,19399,553148,493443.486318342,1000,45
133,28292,777455,539616.7447923046,10000,45
134,22071,581111,446044.71878055745,100000,45
135,7936,225197,202552.15322323528,1000,46
136,26545,788112,669932.9390949244,10000,46
137,19903,586061,492719.46108706517,100000,46
138,33583,1009179,856543.3178602213,1000,47
139,20144,591423,464677.3796292306,10000,47
140,23759,719213,529069.660772982,100000,47
141,23713,685919,586491.4097299798,1000,48
142,27205,823152,606305.1743982092,10000,48
143,26909,722594,545872.4195442309,100000,48
144,4295,114365,94053.72950266355,1000,49
145,34387,1069344,892864.4213595858,10000,49
146,27745,867293,704150.6446535169,100000,49
147,8156,223284,199694.24005205015,1000,50
